policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
LRU,cache_stress,925816,0.425,20.832273749097233,4096,4096,8192,61440,61440,524309,393236
LRU,gups,958867,0.29,45.03721683428904,6271,6272,12543,10112,10113,344113,278503
LRU,matrix_col,901495,0.073,248.77011843303978,16384,0,16384,0,0,98628,65860
LRU,matrix_transpose,165331,0.348,26.5545167008446,764,764,1528,3332,3332,65734,57542
LRU,pointer_chase,133840,0.597,6.409453944568239,341,171,512,7850,3926,108555,79882
LRU,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
LRU,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
LRU,stream_triad,140962,0.32,34.081075683951276,1024,512,1536,7168,3584,53260,45069
LRU,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
LRU,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
LRU,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
LRU,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
LRU,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
LRU,vector_add,120481,0.306,41.653107712333224,1024,512,1536,7168,3584,45070,36876
LRU,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
LRU,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
LRU,write_intensive,596087,0.33,31.246980323149923,0,6144,6144,0,43008,294933,196627
DIP,cache_stress,925816,0.425,20.832273749097233,4096,4096,8192,61440,61440,524309,393236
DIP,gups,958867,0.29,45.03721683428904,6271,6272,12543,10112,10113,344113,278503
DIP,matrix_col,898702,0.073,247.90464621925295,16327,0,16327,57,0,98628,65860
DIP,matrix_transpose,166801,0.345,27.075875013033958,779,779,1558,3317,3317,65734,57542
DIP,pointer_chase,133840,0.597,6.409453944568239,341,171,512,7850,3926,108555,79882
DIP,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
DIP,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
DIP,stream_triad,151889,0.297,39.02904435421243,1172,587,1759,7019,3510,53260,45069
DIP,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
DIP,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
DIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
DIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
DIP,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
DIP,vector_add,131408,0.281,47.70040134504827,1172,587,1759,7019,3510,45070,36876
DIP,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
DIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
DIP,write_intensive,596087,0.33,31.246980323149923,0,6144,6144,0,43008,294933,196627
DRRIP,cache_stress,925816,0.425,20.832273749097233,4096,4096,8192,61440,61440,524309,393236
DRRIP,gups,958916,0.29,45.04080745988374,6272,6272,12544,10112,10112,344113,278503
DRRIP,matrix_col,897722,0.073,247.60097175827514,16307,0,16307,77,0,98628,65860
DRRIP,matrix_transpose,240399,0.239,53.17854784331445,1530,1530,3060,2566,2566,65734,57542
DRRIP,pointer_chase,133840,0.597,6.409453944568239,341,171,512,7850,3926,108555,79882
DRRIP,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
DRRIP,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
DRRIP,stream_triad,187414,0.24,55.11548958263995,1656,828,2484,6536,3268,53260,45069
DRRIP,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
DRRIP,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
DRRIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
DRRIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
DRRIP,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
DRRIP,vector_add,166933,0.221,67.36088512853888,1656,828,2484,6536,3268,45070,36876
DRRIP,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
DRRIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
DRRIP,write_intensive,596087,0.33,31.246980323149923,0,6144,6144,0,43008,294933,196627
EAF,cache_stress,925816,0.425,20.832273749097233,4096,4096,8192,61440,61440,524309,393236
EAF,gups,958867,0.29,45.03721683428904,6271,6272,12543,10112,10113,344113,278503
EAF,matrix_col,901495,0.073,248.77011843303978,16384,0,16384,0,0,98628,65860
