policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
DIP,mixed_hot_scan,127179250,0.33,31.230231222177775,1310720,0,1310720,9181440,0,62953870,41969590
DIP,mixed_list_scan,190777820,0.33,31.22576964578458,1966080,0,1966080,13781760,0,94439797,62963380
DIP,mixed_small_large,317854859,0.33,31.248924173199985,3276800,0,3276800,22938400,0,157291510,104861210
DIP,mixed_working_scan,190941545,0.33,31.173241889202345,1966080,0,1966080,13800960,0,94603525,63069475
DIP,recency_nested,4313,0.85,0.5455537370430987,0,2,2,0,3198,4067,3666
DIP,recency_small_ws,6154,0.813,0.1998001998001998,1,0,1,3999,0,6005,5005
DIP,recency_stack,2203,0.819,0.554016620498615,0,1,1,799,800,2005,1805
DIP,stream_large_stride,56427,0.073,249.57348281745064,1024,0,1024,0,0,6153,4103
DIP,stream_seq_read,12714041,0.33,31.249955296580367,131072,0,131072,917504,0,6291462,4194310
DIP,stream_seq_write,12714091,0.33,31.249947846022863,0,131072,131072,0,917504,6291465,4194311
DIP,thrash_competing,466063,0.661,0.31167819226648485,96,0,96,76704,0,461211,308010
DIP,thrash_conflict,7303,0.823,0.665889795238888,4,0,4,1996,0,7009,6007
DIP,thrash_cyclic,156993,0.654,0.623745200085765,64,0,64,25536,0,153807,102606
DIP,thrash_large_cycle,381361,0.645,1.0411328827180075,256,0,256,61184,0,368767,245886
DRRIP,mixed_hot_scan,127179250,0.33,31.230231222177775,1310720,0,1310720,9181440,0,62953870,41969590
DRRIP,mixed_list_scan,190777820,0.33,31.22576964578458,1966080,0,1966080,13781760,0,94439797,62963380
DRRIP,mixed_small_large,317854859,0.33,31.248924173199985,3276800,0,3276800,22938400,0,157291510,104861210
DRRIP,mixed_working_scan,190941545,0.33,31.173241889202345,1966080,0,1966080,13800960,0,94603525,63069475
DRRIP,recency_nested,4313,0.85,0.5455537370430987,0,2,2,0,3198,4067,3666
DRRIP,recency_small_ws,6154,0.813,0.1998001998001998,1,0,1,3999,0,6005,5005
DRRIP,recency_stack,2203,0.819,0.554016620498615,0,1,1,799,800,2005,1805
DRRIP,stream_large_stride,56427,0.073,249.57348281745064,1024,0,1024,0,0,6153,4103
DRRIP,stream_seq_read,12714041,0.33,31.249955296580367,131072,0,131072,917504,0,6291462,4194310
DRRIP,stream_seq_write,12714091,0.33,31.249947846022863,0,131072,131072,0,917504,6291465,4194311
DRRIP,thrash_competing,466063,0.661,0.31167819226648485,96,0,96,76704,0,461211,308010
DRRIP,thrash_conflict,7303,0.823,0.665889795238888,4,0,4,1996,0,7009,6007
DRRIP,thrash_cyclic,156993,0.654,0.623745200085765,64,0,64,25536,0,153807,102606
DRRIP,thrash_large_cycle,381361,0.645,1.0411328827180075,256,0,256,61184,0,368767,245886
EAF,mixed_hot_scan,127179250,0.33,31.230231222177775,1310720,0,1310720,9181440,0,62953870,41969590
EAF,mixed_list_scan,190777820,0.33,31.22576964578458,1966080,0,1966080,13781760,0,94439797,62963380
EAF,mixed_small_large,317854859,0.33,31.248924173199985,3276800,0,3276800,22938400,0,157291510,104861210
EAF,mixed_working_scan,190941545,0.33,31.173241889202345,1966080,0,1966080,13800960,0,94603525,63069475
EAF,recency_nested,4313,0.85,0.5455537370430987,0,2,2,0,3198,4067,3666
EAF,recency_small_ws,6154,0.813,0.1998001998001998,1,0,1,3999,0,6005,5005
EAF,recency_stack,2203,0.819,0.554016620498615,0,1,1,799,800,2005,1805
EAF,stream_large_stride,56427,0.073,249.57348281745064,1024,0,1024,0,0,6153,4103
EAF,stream_seq_read,12714041,0.33,31.249955296580367,131072,0,131072,917504,0,6291462,4194310
EAF,stream_seq_write,12714091,0.33,31.249947846022863,0,131072,131072,0,917504,6291465,4194311
EAF,thrash_competing,466063,0.661,0.31167819226648485,96,0,96,76704,0,461211,308010
EAF,thrash_conflict,7303,0.823,0.665889795238888,4,0,4,1996,0,7009,6007
EAF,thrash_cyclic,156993,0.654,0.623745200085765,64,0,64,25536,0,153807,102606
EAF,thrash_large_cycle,381361,0.645,1.0411328827180075,256,0,256,61184,0,368767,245886
