policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
DIP,cache_stress,624760,0.629,5.208068437274308,1024,1024,2048,64512,64512,524309,393236
DIP,gups,444612,0.626,7.353601217940202,1024,1024,2048,15360,15360,344113,278503
DIP,matrix_col,883169,0.075,243.09140601275433,16010,0,16010,374,0,98628,65860
DIP,matrix_transpose,140635,0.409,17.795697056063396,512,512,1024,3584,3584,65734,57542
DIP,pointer_chase,133840,0.597,6.409453944568239,341,171,512,7850,3926,108555,79882
DIP,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
DIP,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
DIP,stream_triad,140962,0.32,34.081075683951276,1024,512,1536,7168,3584,53260,45069
DIP,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
DIP,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
DIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
DIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
DIP,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
DIP,vector_add,120481,0.306,41.653107712333224,1024,512,1536,7168,3584,45070,36876
DIP,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
DIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
DIP,write_intensive,395383,0.497,10.415660107716642,0,2048,2048,0,47104,294933,196627
DRRIP,cache_stress,624760,0.629,5.208068437274308,1024,1024,2048,64512,64512,524309,393236
DRRIP,gups,444612,0.626,7.353601217940202,1024,1024,2048,15360,15360,344113,278503
DRRIP,matrix_col,882336,0.075,242.83328272092317,15993,0,15993,391,0,98628,65860
DRRIP,matrix_transpose,140635,0.409,17.795697056063396,512,512,1024,3584,3584,65734,57542
DRRIP,pointer_chase,133840,0.597,6.409453944568239,341,171,512,7850,3926,108555,79882
DRRIP,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
DRRIP,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
DRRIP,stream_triad,140962,0.32,34.081075683951276,1024,512,1536,7168,3584,53260,45069
DRRIP,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
DRRIP,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
DRRIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
DRRIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
DRRIP,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
DRRIP,vector_add,120481,0.306,41.653107712333224,1024,512,1536,7168,3584,45070,36876
DRRIP,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
DRRIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
DRRIP,write_intensive,395383,0.497,10.415660107716642,0,2048,2048,0,47104,294933,196627
EAF,cache_stress,624760,0.629,5.208068437274308,1024,1024,2048,64512,64512,524309,393236
EAF,gups,444612,0.626,7.353601217940202,1024,1024,2048,15360,15360,344113,278503
EAF,matrix_col,901495,0.073,248.77011843303978,16384,0,16384,0,0,98628,65860
EAF,matrix_transpose,140635,0.409,17.795697056063396,512,512,1024,3584,3584,65734,57542
EAF,pointer_chase,133840,0.597,6.409453944568239,341,171,512,7850,3926,108555,79882
EAF,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
EAF,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
EAF,stream_triad,140962,0.32,34.081075683951276,1024,512,1536,7168,3584,53260,45069
EAF,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
EAF,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
EAF,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
EAF,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
EAF,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
EAF,vector_add,120481,0.306,41.653107712333224,1024,512,1536,7168,3584,45070,36876
EAF,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
EAF,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
EAF,write_intensive,395383,0.497,10.415660107716642,0,2048,2048,0,47104,294933,196627
