policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
LRU,cache_stress,925816,0.425,20.832273749097233,4096,4096,8192,61440,61440,524309,393236
LRU,gups,1053927,0.264,52.003030488001926,7241,7242,14483,9142,9143,344113,278503
LRU,matrix_col,901495,0.073,248.77011843303978,16384,0,16384,0,0,98628,65860
LRU,matrix_transpose,316251,0.182,80.08063675228529,2304,2304,4608,1792,1792,65734,57542
LRU,pointer_chase,137760,0.58,7.410931123407025,394,198,592,7797,3899,108555,79882
LRU,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
LRU,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
LRU,stream_triad,140962,0.32,34.081075683951276,1024,512,1536,7168,3584,53260,45069
LRU,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
LRU,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
LRU,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
LRU,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
LRU,test1,925800,0.425,20.835664513503893,0,8193,8193,0,122879,524292,393220
LRU,vector_add,120481,0.306,41.653107712333224,1024,512,1536,7168,3584,45070,36876
LRU,working_set,1851516,0.425,20.83269756985769,8192,8192,16384,122880,122880,1048600,786456
LRU,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
LRU,write_intensive,596087,0.33,31.246980323149923,0,6144,6144,0,43008,294933,196627
DIP,cache_stress,925816,0.425,20.832273749097233,4096,4096,8192,61440,61440,524309,393236
DIP,gups,1053927,0.264,52.003030488001926,7241,7242,14483,9142,9143,344113,278503
DIP,matrix_col,901152,0.073,248.66383237169754,16377,0,16377,7,0,98628,65860
DIP,matrix_transpose,286606,0.201,69.56657745646658,2001,2002,4003,2094,2095,65734,57542
DIP,pointer_chase,137466,0.581,7.335820334994117,390,196,586,7801,3901,108555,79882
DIP,stencil,234516,0.21,20.839268997517195,768,256,1024,11514,3838,57327,49138
DIP,stream_large,794680,0.33,31.249403964920713,8192,0,8192,57344,0,393222,262149
DIP,stream_triad,153800,0.293,39.89438416650026,1198,600,1798,6993,3497,53260,45069
DIP,streaming,82220,0.797,0.061031431187061336,4,0,4,32764,0,81924,65540
DIP,stride_32,450616,0.073,249.9618588472218,8192,0,8192,0,0,49158,32773
DIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24582,16389
DIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6150,4101
