policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
LRU,cache_stress,574535,0.684,2.604034218637154,512,512,1024,65024,65024,524309,393236
LRU,gups,394387,0.706,3.676800608970101,512,512,1024,15872,15872,344113,278503
LRU,matrix_col,148855,0.442,15.548132402064986,1024,0,1024,15360,0,98630,65860
LRU,matrix_transpose,115498,0.498,8.897848528031698,256,256,512,3840,3840,65736,57542
LRU,pointer_chase,121198,0.659,3.2047269722841194,170,86,256,8021,4011,108555,79882
LRU,stencil,209379,0.235,10.419634498758597,384,128,512,11898,3966,57328,49138
LRU,stream_large,593976,0.441,15.624701982460357,4096,0,4096,61440,0,393223,262149
LRU,stream_triad,103281,0.436,17.040537841975638,512,256,768,7680,3840,53263,45069
LRU,streaming,82073,0.799,0.030515715593530668,2,0,2,32766,0,81924,65540
LRU,stride_32,249912,0.131,124.9809294236109,4096,0,4096,4096,0,49159,32773
LRU,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24583,16389
LRU,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6151,4101
LRU,test1,725096,0.542,10.41910380957225,0,4097,4097,0,126975,524294,393220
LRU,vector_add,82800,0.445,20.826553856166612,512,256,768,7680,3840,45070,36876
LRU,working_set,1149003,0.684,2.604087196232211,1024,1024,2048,130048,130048,1048600,786456
LRU,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
LRU,write_intensive,345158,0.57,5.207830053858321,0,1024,1024,0,48128,294933,196627
DIP,cache_stress,574535,0.684,2.604034218637154,512,512,1024,65024,65024,524309,393236
DIP,gups,394387,0.706,3.676800608970101,512,512,1024,15872,15872,344113,278503
DIP,matrix_col,148855,0.442,15.548132402064986,1024,0,1024,15360,0,98630,65860
DIP,matrix_transpose,115498,0.498,8.897848528031698,256,256,512,3840,3840,65736,57542
DIP,pointer_chase,121198,0.659,3.2047269722841194,170,86,256,8021,4011,108555,79882
DIP,stencil,209379,0.235,10.419634498758597,384,128,512,11898,3966,57328,49138
DIP,stream_large,593976,0.441,15.624701982460357,4096,0,4096,61440,0,393223,262149
DIP,stream_triad,103281,0.436,17.040537841975638,512,256,768,7680,3840,53263,45069
DIP,streaming,82073,0.799,0.030515715593530668,2,0,2,32766,0,81924,65540
DIP,stride_32,249912,0.131,124.9809294236109,4096,0,4096,4096,0,49159,32773
DIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24583,16389
DIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6151,4101
DIP,test1,725096,0.542,10.41910380957225,0,4097,4097,0,126975,524294,393220
DIP,vector_add,82800,0.445,20.826553856166612,512,256,768,7680,3840,45070,36876
DIP,working_set,1149003,0.684,2.604087196232211,1024,1024,2048,130048,130048,1048600,786456
DIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
DIP,write_intensive,345158,0.57,5.207830053858321,0,1024,1024,0,48128,294933,196627
DRRIP,cache_stress,574535,0.684,2.604034218637154,512,512,1024,65024,65024,524309,393236
DRRIP,gups,394387,0.706,3.676800608970101,512,512,1024,15872,15872,344113,278503
DRRIP,matrix_col,148855,0.442,15.548132402064986,1024,0,1024,15360,0,98630,65860
DRRIP,matrix_transpose,115498,0.498,8.897848528031698,256,256,512,3840,3840,65736,57542
DRRIP,pointer_chase,121198,0.659,3.2047269722841194,170,86,256,8021,4011,108555,79882
DRRIP,stencil,209379,0.235,10.419634498758597,384,128,512,11898,3966,57328,49138
DRRIP,stream_large,593976,0.441,15.624701982460357,4096,0,4096,61440,0,393223,262149
DRRIP,stream_triad,103281,0.436,17.040537841975638,512,256,768,7680,3840,53263,45069
DRRIP,streaming,82073,0.799,0.030515715593530668,2,0,2,32766,0,81924,65540
DRRIP,stride_32,249912,0.131,124.9809294236109,4096,0,4096,4096,0,49159,32773
DRRIP,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24583,16389
DRRIP,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6151,4101
DRRIP,test1,725096,0.542,10.41910380957225,0,4097,4097,0,126975,524294,393220
