policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
DRRIP,vector_add,82800,0.445,20.826553856166612,512,256,768,7680,3840,45070,36876
DRRIP,working_set,1149003,0.684,2.604087196232211,1024,1024,2048,130048,130048,1048600,786456
DRRIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
DRRIP,write_intensive,345158,0.57,5.207830053858321,0,1024,1024,0,48128,294933,196627
EAF,cache_stress,574535,0.684,2.604034218637154,512,512,1024,65024,65024,524309,393236
EAF,gups,394387,0.706,3.676800608970101,512,512,1024,15872,15872,344113,278503
EAF,matrix_col,148855,0.442,15.548132402064986,1024,0,1024,15360,0,98630,65860
EAF,matrix_transpose,115498,0.498,8.897848528031698,256,256,512,3840,3840,65736,57542
EAF,pointer_chase,121198,0.659,3.2047269722841194,170,86,256,8021,4011,108555,79882
EAF,stencil,209379,0.235,10.419634498758597,384,128,512,11898,3966,57328,49138
EAF,stream_large,593976,0.441,15.624701982460357,4096,0,4096,61440,0,393223,262149
EAF,stream_triad,103281,0.436,17.040537841975638,512,256,768,7680,3840,53263,45069
EAF,streaming,82073,0.799,0.030515715593530668,2,0,2,32766,0,81924,65540
EAF,stride_32,249912,0.131,124.9809294236109,4096,0,4096,4096,0,49159,32773
EAF,stride_64,225336,0.073,249.9237293306486,4096,0,4096,0,0,24583,16389
EAF,strided,56376,0.073,249.69519629358695,1024,0,1024,0,0,6151,4101
EAF,test1,725096,0.542,10.41910380957225,0,4097,4097,0,126975,524294,393220
EAF,vector_add,82800,0.445,20.826553856166612,512,256,768,7680,3840,45070,36876
EAF,working_set,1149003,0.684,2.604087196232211,1024,1024,2048,130048,130048,1048600,786456
EAF,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097179,1572892
EAF,write_intensive,345158,0.57,5.207830053858321,0,1024,1024,0,48128,294933,196627
